Orthogroup	Cx_molestus	Cx_pallens	Cx_pipiens	Cx_quinquefasciatus	Cx_tarsalis	ingroup_count	compartment
OG0000429	2	2	2	2	1	4	core
OG0000430	2	1	2	2	2	4	core
OG0000431	2	2	2	2	1	4	core
OG0000432	2	2	2	2	1	4	core
OG0000433	2	2	2	2	1	4	core
OG0000434	2	2	2	2	1	4	core
OG0000435	2	2	2	2	1	4	core
OG0000436	2	2	2	2	1	4	core
OG0000437	2	1	2	2	2	4	core
OG0000438	2	2	2	2	1	4	core
OG0000439	2	2	2	2	1	4	core
OG0000440	2	2	2	2	1	4	core
OG0000441	2	2	2	2	1	4	core
OG0000442	2	2	2	2	1	4	core
OG0000443	2	3	1	2	1	4	core
OG0000444	2	2	2	2	1	4	core
OG0000445	2	2	2	2	1	4	core
OG0000446	2	1	2	2	2	4	core
OG0000447	2	2	2	2	1	4	core
OG0000448	2	2	2	2	1	4	core
OG0000449	2	2	2	2	1	4	core
OG0000450	2	2	2	2	1	4	core
OG0000451	1	2	2	3	1	4	core
OG0000452	2	1	1	3	2	4	core
OG0000453	2	2	2	2	1	4	core
OG0000454	2	2	2	2	1	4	core
OG0000455	2	2	2	2	1	4	core
OG0000456	2	2	2	2	1	4	core
OG0000457	2	2	2	2	1	4	core
OG0000458	2	2	2	2	1	4	core
OG0000459	2	2	2	2	1	4	core
OG0000460	2	2	2	2	1	4	core
OG0000461	2	2	2	2	1	4	core
OG0000462	2	2	2	2	1	4	core
OG0000463	2	2	2	2	1	4	core
OG0000464	2	2	2	2	1	4	core
OG0000465	2	2	2	2	1	4	core
OG0000466	2	2	2	2	1	4	core
OG0000467	2	2	2	2	1	4	core
OG0000468	2	2	2	2	1	4	core
OG0000469	2	2	2	2	1	4	core
OG0000470	2	2	2	2	1	4	core
OG0000471	2	2	2	2	1	4	core
OG0000472	2	2	2	2	1	4	core
OG0000473	2	2	2	2	1	4	core
OG0000474	2	2	2	2	1	4	core
OG0000475	2	2	2	2	1	4	core
OG0000476	2	2	2	2	1	4	core
OG0000477	0	3	1	0	5	2	shell
OG0000478	2	2	2	2	1	4	core
OG0000479	2	2	2	2	1	4	core
OG0000480	2	2	2	2	1	4	core
OG0000481	2	2	2	2	1	4	core
OG0000482	2	2	2	2	1	4	core
OG0000483	2	2	2	2	1	4	core
OG0000484	2	2	2	3	0	4	core
OG0000485	2	3	2	2	0	4	core
OG0000486	2	2	2	2	1	4	core
OG0000487	2	2	1	2	2	4	core
OG0000488	2	2	2	2	1	4	core
OG0000489	2	2	2	2	1	4	core
OG0000490	2	2	2	2	1	4	core
OG0000491	2	1	2	2	2	4	core
OG0000492	2	2	2	2	1	4	core
OG0000493	2	2	1	4	0	4	core
OG0000494	2	2	2	2	1	4	core
OG0000495	2	2	3	1	1	4	core
OG0000496	2	2	2	1	2	4	core
OG0000497	2	2	2	2	1	4	core
OG0000498	2	2	2	2	1	4	core
OG0000499	2	2	2	2	1	4	core
OG0000500	2	2	2	2	1	4	core
OG0000501	2	2	2	2	1	4	core
OG0000502	2	2	2	2	1	4	core
OG0000503	2	2	2	2	1	4	core
OG0000504	2	2	2	2	1	4	core
OG0000505	2	2	2	2	1	4	core
OG0000506	2	2	2	2	1	4	core
OG0000507	2	2	2	2	1	4	core
OG0000508	2	2	2	2	1	4	core
OG0000509	2	2	2	2	1	4	core
OG0000510	1	2	2	3	1	4	core
OG0000511	2	0	3	3	1	3	shell
OG0000512	2	2	2	3	0	4	core
OG0000513	2	2	2	2	1	4	core
OG0000514	2	2	2	2	1	4	core
OG0000515	2	2	1	3	1	4	core
OG0000516	2	2	2	2	1	4	core
OG0000517	2	2	2	2	1	4	core
OG0000518	2	2	2	3	0	4	core
OG0000519	2	2	2	2	1	4	core
OG0000520	2	2	2	2	1	4	core
OG0000521	1	2	2	3	1	4	core
OG0000522	2	2	2	2	1	4	core
OG0000523	2	2	2	2	1	4	core
OG0000524	2	2	2	2	1	4	core
OG0000525	2	2	2	2	1	4	core
OG0000526	2	2	2	2	1	4	core
OG0000527	2	2	2	2	1	4	core
OG0000528	2	2	2	3	0	4	core
OG0000529	2	1	2	2	2	4	core
OG0000530	2	2	2	2	1	4	core
OG0000531	2	1	2	2	2	4	core
OG0000532	2	2	2	2	1	4	core
OG0000533	2	2	2	2	1	4	core
OG0000534	2	2	2	2	1	4	core
OG0000535	1	3	2	0	3	3	shell
OG0000536	2	2	2	2	1	4	core
OG0000537	2	2	2	2	1	4	core
OG0000538	2	2	2	2	1	4	core
OG0000539	2	2	2	2	1	4	core
OG0000540	2	2	2	2	1	4	core
OG0000541	1	0	3	4	1	3	shell
OG0000542	2	2	2	2	1	4	core
OG0000543	2	2	2	2	1	4	core
OG0000544	2	2	2	2	1	4	core
OG0000545	2	2	2	2	1	4	core
OG0000546	2	2	2	2	1	4	core
OG0000547	2	2	2	2	1	4	core
OG0000548	2	2	2	2	1	4	core
OG0000549	2	2	2	2	1	4	core
OG0000550	2	2	2	2	1	4	core
OG0000551	2	2	2	2	1	4	core
OG0000552	2	2	2	2	1	4	core
OG0000553	3	1	1	3	1	4	core
OG0000554	2	2	2	2	1	4	core
OG0000555	2	2	2	2	1	4	core
OG0000556	2	2	2	2	1	4	core
OG0000557	2	2	2	2	1	4	core
OG0000558	2	2	2	2	1	4	core
OG0000559	2	2	2	2	1	4	core
OG0000560	2	2	2	2	1	4	core
OG0000561	2	2	2	2	1	4	core
